index,neighbourhood,cluster_sum,noise_1,noise_2,noise_3,noise_4,noise_5,safety_1,safety_2,safety_3,safety_4,safety_5,entertainment_1,entertainment_2,entertainment_3,entertainment_4,entertainment_5,restaurant_1,restaurant_2,restaurant_3,restaurant_4,restaurant_5,host_1,host_2,host_3,host_4,host_5,expense_1,expense_2,expense_3,expense_4,expense_5,shopping_1,shopping_2,shopping_3,shopping_4,shopping_5,nightlife_1,nightlife_2,nightlife_3,nightlife_4,nightlife_5,transit_1,transit_2,transit_3,transit_4,transit_5
0,Bayswater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Allerton,"Overall, it was not a bad place, but not really a great choice if you are traveling with little kids. It was a nice and clean room. Great place!, great attentions, comfortable place, very clean, a fully recommended place to stay. Very close to subway and grocery. It was clean and very private. Thank you for hosting us!!! ","Very clean, quiet, peaceful and warm n toasty.",It is clean and brand new.,Also its type sus but affordable.,A bit run down in spots but plenty clean.,Comfortable room with air conditioning and fans.,Easy walk to subway station.,무난무난 Amazing host and clean apartment!,Comfortable room with air conditioning and fans.,Very clean and high tech.,Excellent communication with host .,"Great amenities, felt like a hotel room.","Amazing location, space, and hosts.",comfortable sofas in common area.,Comfortable room with air conditioning and fans.,Excellent communication with host .,Restaurants and subway station is within walking distance.,"It is conveniently located next to restaurants, grocery stores, banks, etc.",Shops restaurants and subway a short stroll away.,"It has everything you can ask for: a great place to stay near restaurants, stores, supermarket, and a train station.","Great amenities, felt like a hotel room.",Host is very responsive to messages.,Excellent communication with host .,Thank you for hosting us!!!,"Amazing location, space, and hosts.",Wonderful place and a great host!!!,"In sum, a very enjoyable experience.",Overall a nice place to stay and good value for money.,"Nice place, would stay again Great value & price for duration of stay .",Also its type sus but affordable.,comfortable sofas in common area.,"It is conveniently located next to restaurants, grocery stores, banks, etc.",Lots of places to eat and buy groceries within walking distance.,"Clean quiet space, close to subway and shopping.",Shops restaurants and subway a short stroll away.,"It has everything you can ask for: a great place to stay near restaurants, stores, supermarket, and a train station.","Great amenities, felt like a hotel room.",Restaurants and subway station is within walking distance.,"Very Spacious room, quality furniture, clean bathroom.",Nice walking distance to zoo and botanical gardens.,comfortable sofas in common area.,Easy walk to subway station.,Location is close to subway.,Very close to subway and grocery.,You are right next to subway stop.,Very close to public transit making it easy to get around.
2,City Island,"It is so lovely and conveniently located. Great host, good communication, great location, and comfy apartment. It was very spacious, clean and in an excellent location. Would love to visit again. Highly recommend it Very nice space, close to everything including a mall and not too much traffic to local destinations. Thank you very much for being wonderful hosts. ",Washing machine is a bonus!,It has cable and air-conditioning and was a peaceful retreat after work and traffic.,"barbecue, fire pit, canoes, and paddle boards).","Description was accurate, walking distance to restaurants , bars, and market.",A lot of people in past reviews complained about noise from upstairs.,Could use some slight repairs.,Very private and secure space.,"Location is very convenient, near shops and public transport.",It has cable and air-conditioning and was a peaceful retreat after work and traffic.,"Apartment convenient to food store, restaurants, in a safe area.","Great host, good communication, great location, and comfy apartment.",Nice liquor store also--small but adequate.,Quaint place and great host communication!,"Apartment convenient to food store, restaurants, in a safe area.",It has cable and air-conditioning and was a peaceful retreat after work and traffic.,"Apartment convenient to food store, restaurants, in a safe area.","Walking distance to stores, pharmacy and restaurants.","Walking distance to a number of good restaurants, local grocery stores.","Outstanding host, cozy, private apartment.",Great restaurants within walking distance.,"Wonderful hosts, clean home and comfy room.","Great location, great apartment and a great host!","Clean, comfy, and charming hosts.",Very quick respond from host.,Great location and a great host.,"Apartment convenient to food store, restaurants, in a safe area.","Location is very convenient, near shops and public transport.","Description was accurate, walking distance to restaurants , bars, and market.","Basic accommodations, in need of some upgrades but it was very clean.",Great value - tons of space and excellent location.,"Walking distance to stores, pharmacy and restaurants.","Location is very convenient, near shops and public transport.","Apartment convenient to food store, restaurants, in a safe area.","Walking distance to a number of good restaurants, local grocery stores.","Description was accurate, walking distance to restaurants , bars, and market.","very cozy, waterfront with water sports.","Apartment convenient to food store, restaurants, in a safe area.",Close to nightlife yet very homey and just plain nice!,"Description was accurate, walking distance to restaurants , bars, and market.",Great restaurants within walking distance.,No problem finding free parking within a block.,"Location is very convenient, near shops and public transport.","Description was accurate, walking distance to restaurants , bars, and market.",If u are traveling public vehicle its very accessible!,"barbecue, fire pit, canoes, and paddle boards)."
3,Ditmars Steinway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ozone Park,"Apt is situated very close to subway, some shops and restaurants. It was extremely clean and cosy. Definitely recommend to anybody looking for a quick place to stay. Highly recommendable for those looking for a great host, super clean place and a very comfy bed. You feel like you’re at home and everything is incredibly clean. Thank you again for a lovely stay. ",Limited eating and gricery shopping options within walking distance.,"), lots of hangers in a very spacious wardrobe, takeaway menus, a subway map etc.",If you're a light sleeper bring earplugs.,Apt was clean and nice without any problems.,Typical traffic noise at times.,Limited eating and gricery shopping options within walking distance.,"A must stay, and very close to public transportation.",Excellent customer service and communication!,Close to public transportation and food place.,"Amazing  Safe area, multiple locks, comfortable and friendly.",Close to public transportation and food place.,Communication with host was excellent.,"Great hospitality, great communication, all around great job.",Great hospitality great amenities just a amazing experince  Great stay.,"Free snacks and beverages, really a nice place to live!",Food restaurant was very near an convenient.,Also grocery stores and restaurants are pretty close.,Restaurants and various shops within a 30-second walk.,"Several stores, pharmacies, supermarkets and restaurants are also close.",Plenty of supermarkets and convenience stores.,Ming is honestly a great host.,"Charming host, and a really nice place to stay.",Host was quick to respond.,Communication with host was excellent.,Very obliging host and freindly family.,Excellent value and great hospitality.,Basic necessities are provided so it made it convenient.,Excellent customer service and communication!,Typical traffic noise at times.,Access instructions are pretty simple.,Limited eating and gricery shopping options within walking distance.,Also grocery stores and restaurants are pretty close.,Restaurants and various shops within a 30-second walk.,"Pizza, halal, and a grocery are all within walking distance.",A brief walk away from shops and places to eat.,Limited eating and gricery shopping options within walking distance.,Perfect hospitality in a nice neighborhood.,"It is walking distance to public transport, restaurants and businesses.","Free snacks and beverages, really a nice place to live!","Also close to public transport (train & bus, supermarkets and some nice restaurants.",Close to public transportation and food place.,Close to buses and walkable to train.,Train transport is a block away.,"Also close to public transport (train & bus, supermarkets and some nice restaurants.","Clean, close to subway, great communication with owner."
5,Fordham,"It is a small studio apartment. Convenient, comfortable and a great place to stay. Apt is close to subway, in a calm area and close to restuarants. Shamira’s place was warm and inviting. If you have a car, finding a parking may be a little challenging at late time. It was a great stay. ","If you are a light sleeper might want to bring ear plugs, windows are thin.","Victor place was amazing, peaceful and close to a lot of stores.",Bring an eye mask though!,It has a huge TV which was a pleasant bonus.,Great price for such service and location.,Overall a great value for money.,It's in a very safe good.,neigborough is safe and close to a bus stop and subway.,Easy to get to and excellent communication.,Transportation was very close and convenient.,"Location: Groceries, shops and restaurants are nearby.","You'll see lots of mom-and-pop delis, clothing shops, diners, hangouts, botanicas, beauty shops etc.",Great price for such service and location.,It has a huge TV which was a pleasant bonus.,Victors accommodation is definetly recommended.,"Location: Groceries, shops and restaurants are nearby.","Supermarket, restaurants, shopping are just feets away.",Also close to grocery shops and restaurants.,"You'll see lots of mom-and-pop delis, clothing shops, diners, hangouts, botanicas, beauty shops etc.",Location very close to subway station and market and pizzeria.,Perfect experience and very nice hosts!,Thanks a lot for hosts.,Vern is a great host and lots of fun to be around.,You're lucky staying with him.,"From a host, you couldnt ask for more.",Great price for such service and location.,Victors accommodation is definetly recommended.,"Easy to find; clean, cozy; great communication; great location and price.","Location: Groceries, shops and restaurants are nearby.",and did not spoil anything.,Also close to grocery shops and restaurants.,"Location: Groceries, shops and restaurants are nearby.","Supermarket, restaurants, shopping are just feets away.","You'll see lots of mom-and-pop delis, clothing shops, diners, hangouts, botanicas, beauty shops etc.",Central to a lot of places to shop and eat!,"Location: Groceries, shops and restaurants are nearby.","You'll see lots of mom-and-pop delis, clothing shops, diners, hangouts, botanicas, beauty shops etc.",Location very close to subway station and market and pizzeria.,Also close to grocery shops and restaurants.,"Easy to find; clean, cozy; great communication; great location and price.",Transportation was very close and convenient.,Great location next to subway stops.,"Apt is close to subway, in a calm area and close to restuarants.","You'll see lots of mom-and-pop delis, clothing shops, diners, hangouts, botanicas, beauty shops etc.",neigborough is safe and close to a bus stop and subway.
6,Whitestone,"But it is a safe neighborhood, near food, stores, and shopping. It is a perfect place to stay! Irma was very quick to respond to any messages sent, and was accommodating. Irma's apartment is bright cozy and comfortable, with lots of closets. Great host and nice place. Irma is a very good host. ",Very clean and solid wifi.,Irma a great host quick response and assisted us with are needs.,Hard wood floors making longer travel easy to clean up.,Communication was poor at best.,"Also conveniently near food and shopping, walking distance from a park.","Nice place, timely and accurate communications.","Superclean house, gracious hostess, pleasant deck.","Cozy and clean, safe area close to everything.","Very nice, clean condo with safe neighborhood.","But it is a safe neighborhood, near food, stores, and shopping.",(lots of pubs & restaurants).,Great hospitality and easy to work with.,Quiet area and good location.,"Nice place, timely and accurate communications.","Excellent experience, clean and great location!",(lots of pubs & restaurants).,Local  shopping and restaurants are within walking distance.,Comfortable beds; safe neighborhood with good restaurants nearby.,"Quiet neighborhood, street parking, close to a very accommodating area with many restaurants and stores.","But it is a safe neighborhood, near food, stores, and shopping.","Great host, and very comfortable lodging.",Irma is a wonderful host.,Great host and nice place.,Irma a great host quick response and assisted us with are needs.,"nice place, clean room, genial host.","Cozy and clean, safe area close to everything.",Furnishings are basic but comfortable.,Hard wood floors making longer travel easy to clean up.,No extra liners are provided.,Please be respectful and you will receive more.,Shopping center nearby was very convenient also.,Parking shopping is very convenient.,Walking distance to a mall and grocery store (10 min).,"Also conveniently near food and shopping, walking distance from a park.",Local  shopping and restaurants are within walking distance.,Comfortable beds; safe neighborhood with good restaurants nearby.,Local  shopping and restaurants are within walking distance.,(lots of pubs & restaurants).,"Quiet neighborhood, street parking, close to a very accommodating area with many restaurants and stores.","Comfortable bed, private bathroom, & balcony.",A guaranteed parking space was essential and much appreciated.,"Parking was tough, but get a spot both nights.",It’s easily and accessible for public transit.,"It is in a peaceful community and very convenient, you can take bus and subway easily.","Good location, close to train stations and airports."
7,Arden Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Arrochar,,,,,,,,,,,,,,,,,Restaurants and subway station is within walking distance.,"It is conveniently located next to restaurants, grocery stores, banks, etc.",Shops restaurants and subway a short stroll away.,"It has everything you can ask for: a great place to stay near restaurants, stores, supermarket, and a train station.","Great amenities, felt like a hotel room.",,,,,,,,,,,"It is conveniently located next to restaurants, grocery stores, banks, etc.",Lots of places to eat and buy groceries within walking distance.,"Clean quiet space, close to subway and shopping.",Shops restaurants and subway a short stroll away.,"It has everything you can ask for: a great place to stay near restaurants, stores, supermarket, and a train station.","Great amenities, felt like a hotel room.",Restaurants and subway station is within walking distance.,"Very Spacious room, quality furniture, clean bathroom.",Nice walking distance to zoo and botanical gardens.,comfortable sofas in common area.,,,,,
9,Arverne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Bay Ridge,"It is clean, comfortable, and a great location. It's in a great location: quiet but close to everything (restaurants, shops and transit). Nely was a great host! Overall it is a nice place with everything essential for a short stay. Thank you for a great stay! Nice place to stay, very clean and a good location. ",No water cup or trash bag available.,"Super clean, quiet, and a riot of color and charm.",All rusty water stains and ceiling problems and falling off painted wallpaper need attending to.,"It would make flickering noises every time it turned on and off, and for someone that is sleep sensitive it was very hard to fall asleep.",❤️ Clear communication and exactly as advertised.,"Clean, safe, and modern space.",Safe neighborhood with great restaurants.,"Clean , modern and safe location.",Great stay - close to transportation and food.,"Good location, easy access and clean.",Amazing hosts and sparkling clean apartment.,walk to coffee and restaurants.,"TV, wifi, very clean bathroom.",Great stay - close to transportation and food.,"located good transportation ,neighborhood .","Grocery store, restaurants, church, etc.",restaurants nearby.,Restaurants and grocery store conveniently located.,"Parks, shops, bars, pharmacies and great restaurants nearby.","Close to metro station, shops and restaurants.",Great host and homey place!,"Great host, location, and food.",Host responded quickly to all messages.,"Very understanding hosts, and hospitable.",Nely was a great host!,It is a good value.,A budget stay - great hosts!,"Great value for money, thanks so much!","A great value, no frills option.","Good value for money, very clean and comfortable flat.","Shopping was just as easy, with local stores also conveniently close and accessible.",Close to stores for shopping and groceries.,"Location is quiet yet close enough to restaurants,  shopping and transportation.","close to shops, subway and buses.","Close to shopping, food, coffee, etc.","Location was great, close to nightlife restaurants and bars.","Great location, and walking distance from restaurant, shops and nightlife.",restaurants nearby.,Convenient location with diverse restaurants within walking distance.,"Warm and near to subway station, restaurants and food markets.",Car service was great and subway nearby.,Short walking distance to trains stations and buses for public transportation.,Close to transit shops and restaurants.,Short walk to subway station also.,"Amazing, private space, close to transit."
11,Belmont,"It was a nice place to stay. Apartment was very clean and stylish. If you travel alone, you will at least have someone to have beer with. Very close to public transportation and in walking distance of a lot of shops and food. Thank you for a great stay! Cosy room and very hospitable and friendly owners! ",Window had no screen so no fresh air.,Very close to public transportation and in walking distance of a lot of shops and food.,Simple room with small fan.,Quick response and a very safe place to stay!,"Very clean, exactly like photos and good value.",Lots of food choices nearby.,A must place to stay!!!!!,Home was clean and quiet.,"Very clean, exactly like photos and good value.",Twin bed was simple and comfortable.,Apartment was very clean and stylish.,Very close to public transportation and in walking distance of a lot of shops and food.,Window had no screen so no fresh air.,Lots of food choices nearby.,"It has a desk, places to plug in electronics and decent wifi.",Close to great local restaurants and right next to transit.,Situated in a diverse neighborhood with easy access to various restaurants and subway stations.,Simple room with small fan.,Very beautiful apartment and area.,Apartment was very clean and stylish.,"Great for couples, groups or families with older kids.",Private and right next to a bunch of great dining places.,Friendly A nice place to stay!,Great spot with great people for a great price!,Home was clean and quiet.,"Small room is correct, cozy, not at all!","It has a desk, places to plug in electronics and decent wifi.",Very close to public transit and convenient location.,Would recommend if you're budgeting.,"Very clean, exactly like photos and good value.",Very close to public transportation and in walking distance of a lot of shops and food.,Lots of food choices nearby.,Very close to public transit and convenient location.,Apartment was very clean and stylish.,Location was in a nice neighborhood that close to many things in walking distance should you need anything.,Close to great local restaurants and right next to transit.,Location was in a nice neighborhood that close to many things in walking distance should you need anything.,Situated in a diverse neighborhood with easy access to various restaurants and subway stations.,Very beautiful apartment and area.,Very close to public transportation and in walking distance of a lot of shops and food.,Window had no screen so no fresh air.,Situated in a diverse neighborhood with easy access to various restaurants and subway stations.,Close to great local restaurants and right next to transit.,Location was in a nice neighborhood that close to many things in walking distance should you need anything.,Very close to public transit and convenient location.
12,Gerritsen Beach,,,,,,,,,,,,,,,,,Plenty of shops and restaurants near by.,It was walkable to a lot of restaurants and convenience stores.,Close to public transportation and restaurants.,Basement is sparkling clean apartment.,"Very clean basement apartment, private bath with desk, sofa and bed.",,,,,,,,,,,Short walk from bus stops.,It was walkable to a lot of restaurants and convenience stores.,Plenty of shops and restaurants near by.,Close to local dining and shops.,"It’s close to a little shopping plaza, close to transportation Excellent  Place was as advertised.",Basement is sparkling clean apartment.,It was walkable to a lot of restaurants and convenience stores.,Close to public transportation and restaurants.,Great communication Located at a quiet neighborhood.,Close to local dining and shops.,,,,,
13,Port Ivory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
