index,neighbourhood,noise,safety,entertainment,restaurant,host,expense,shopping,nightlife,transit
0,Bayswater,,,,,,,,,
1,Allerton,0.0,0.202,0.0,0.0,0.107,0.0,0.203,0.0,0.489
2,City Island,0.119,0.154,0.0,0.15,0.092,0.0,0.0,0.119,0.366
3,Ditmars Steinway,,,,,,,,,
4,Ozone Park,0.116,0.148,0.0,0.145,0.077,0.0,0.153,0.0,0.361
5,Fordham,0.0,0.164,0.0,0.0,0.098,0.0,0.338,0.0,0.4
6,Whitestone,0.0,0.204,0.0,0.0,0.104,0.0,0.208,0.0,0.484
7,Arden Heights,,,,,,,,,
8,Arrochar,,,,,,,,,
9,Arverne,,,,,,,,,
10,Bay Ridge,0.092,0.117,0.0,0.113,0.067,0.0,0.241,0.092,0.277
11,Belmont,0.0,0.251,0.0,0.0,0.138,0.0,0.0,0.0,0.61
12,Gerritsen Beach,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Port Ivory,,,,,,,,,
14,Soundview,0.136,0.217,0.0,0.0,0.129,0.0,0.0,0.0,0.518
15,Astoria,0.094,0.163,0.034,0.111,0.047,0.0,0.292,0.065,0.194
16,Bath Beach,0.0,0.276,0.0,0.0,0.135,0.0,0.281,0.0,0.309
17,Bayside,0.0,0.204,0.0,0.0,0.124,0.0,0.428,0.0,0.243
18,Battery Park City,0.145,0.177,0.0,0.175,0.104,0.0,0.183,0.0,0.214
19,Bay Terrace,,,,,,,,,
20,"Bay Terrace, Staten Island",,,,,,,,,
21,Baychester,0.0,0.201,0.0,0.0,0.115,0.0,0.206,0.0,0.478
22,Bayswater,,,,,,,,,
23,Bedford-Stuyvesant,0.095,0.242,0.034,0.112,0.047,0.0,0.21,0.065,0.195
24,Belle Harbor,,,,,,,,,
25,Bellerose,,,,,,,,,
26,Bensonhurst,0.136,0.172,0.0,0.0,0.1,0.0,0.176,0.0,0.416
27,Bergen Beach,0.0,0.359,0.0,0.0,0.189,0.0,0.0,0.0,0.452
28,Bloomfield,,,,,,,,,
29,Boerum Hill,0.126,0.112,0.0,0.109,0.064,0.0,0.231,0.087,0.271
30,Borough Park,0.0,0.201,0.0,0.196,0.12,0.0,0.0,0.0,0.483
31,Brighton Beach,0.0,0.318,0.126,0.0,0.187,0.0,0.0,0.0,0.369
32,Prospect-Lefferts Gardens,,,,,,,,,
33,Mott Haven,0.186,0.163,0.0,0.0,0.096,0.0,0.168,0.0,0.387
34,Bronxdale,0.0,0.168,0.0,0.163,0.09,0.0,0.174,0.0,0.406
35,Breezy Point,,,,,,,,,
36,Briarwood,,,,,,,,,
37,Brooklyn Heights,0.091,0.116,0.0,0.114,0.062,0.0,0.243,0.091,0.283
38,Brownsville,0.0,0.2,0.0,0.0,0.106,0.0,0.206,0.0,0.487
39,Bull's Head,0.0,0.672,0.0,0.0,0.328,0.0,0.0,0.0,0.0
40,Bushwick,0.083,0.211,0.029,0.097,0.041,0.0,0.312,0.058,0.171
41,Cambria Heights,,,,,,,,,
42,"Chelsea, Staten Island",,,,,,,,,
43,Chinatown,0.088,0.111,0.045,0.109,0.065,0.0,0.229,0.088,0.265
44,City Island,0.119,0.154,0.0,0.15,0.092,0.0,0.0,0.119,0.366
45,Cypress Hills,,,,,,,,,
